,ETH Wallet Address,Total GXC tokens
91,0xAffa83b52a25ceb5E5dfa64340bFC88A6ce67CB5,2940
92,0x0A8223852ce225eA5656bEc7Eb8a071208dA866D,2100
93,0x507f5aE468e5753a10a6E8a3543493885E30fbd7,600
94,0xa3beBBea49563A6D6D1AC44D1B7c7d7d098B09Fe,1450
95,0x94197076B6c60b49E342b1266F0127f95C64721a,2100
96,00x724F852edC247DE2E4DEF8B8EF4581E84E14C141,1200
97,0xd1781Da081aD90DA5A63Ce052C09Ec2dF289020B,2100
98,0x5694A62F375Cc3b304881388dc860F10028d3A23,600
99,0x8ec9bca6d18713346438ee116587b59e4d2252a7,650
100,0x0D554C6ee2a2f31441080f23ba6D36B845949d23,650
101,0x6494E392803d7eBa447f672bAc481ef922450E26,2100
102,0xe53723C804eFDa69632aEB53EC6c41Ce7dBc8D2b,1650
103,0x9A1a1FA2EF6173D1fd1fA4Eb4DA7980FdBF88B76,400
104,0x5f7B2c3ea21B886f2f02444d0F41fD573Ac94f85,2000
105,0x17A7d45565B76D56C31E3B2f9F469500F046132c,1500
106,0xFaAB7707E035cdcE6a46E987b2A787fe9b2B93C8,2100
107,0x19bdafb7E311eF9ec30Be820EfE3b910b6f41146,1450
108,0x7dc9B78BA065D624C8A6009F61dc2F5C5f983194,100
109,0x20eEc4664b72839e22eDde3a1e420b13F40dE769,2100
110,0x90b99a9C69273cd4eBe698ee16FaEbA81A62C137,400
111,0x70Bf7aDE03E5e9157388b13E8d0828BDE2DD4519,2100
112,0xEF43Df51A1cAd63ce6C522d7e095c89A261600ea,1050
113,0xC35CE59fb7b97E3585f43298e649B47BA426bc9F,750
114,0xb65869D6407FA3447a59ff90440c0569091Fa94c,150
115,0x5949b09f38e7a145be6f92510d1c04339be592b4,2100
116,0x6ab75e2577Ced422F57C826Ef60f9F538d16C608,2100
117,0x15b7d4E7e6F2664F28b89Bee15eF1C05425B47d7,900
118,0xa025Ecd25796c0648a9E128fCb46a71b73845B57,1650
119,0xEdC8C1b466b636d8Cd5874729956743e2e640DAb,1050
120,0x97bd93c2a225aC0D1f924B81873B230dE2B1FCe4,1200
121,0xb855be29baf3c9b5576c7036bc318a12a77bb09d,1750
122,0x2B1cbb0a2D9E2817F39900275EfaaBEc439Fc98C,500
123,0xb5deee5b4d72c8c8c6f5d013b266e7b0757edd89,2100
124,0xC8158EA6Cf6f8Ea3Cbe015448390d19e7e0F0dE7,1050
125,0x6981FC86f1dA6fEE43D2059B0abf037713B746B5,900
126,0x83F12ea77eb1424c20722C730aFd110192D700b7,1200
127,0xa7014183228Cc6396BB06a4372dEbAd154F14482,1900
128,0x9D03029D2B9c5A3988a5b9c07820d0bA720E66EA,1200
129,0xF8AE2DD4c230eAEcF58E3A565781DA1721f34BeE,450
130,0x047388B7A75b8AA45aA3c61537dA94f8154cDa43,1200
131,0xcac5e66ac94D8BF511d9D6e840fd7c7Ed077D07f,950
132,0xb1E97c235cb85846AC8B00Ee79304d94b7018EFE,2100
133,0x81732F1B54D5e399d008559cA31418E93630f680,150
134,0xd37e02e628Ff1b929fA6D27b0e93aD4578D27bAA,600
135,0xfaD613f579FA35316D806E28AeE503d92cE8Ab29,2100
136,0x52009163e59Cf33E67fE234fd8c065CeE05502AD,1500
137,0xCa8aFd70618E44C5ad5B76E91bb19ca71e0e0e75,600
138,0x1Ba392a85f72d5a7C091B9b4B25a663D6c6003C8,300
139,0x8A648842c28E9a4cab10243F45e53ca84050875F,300
140,0x8013592e48Fc6a4963db7907DA6dF2d9AbaDb54e,150
141,0x9594f19bbBE5EeA29FE406dC050c38205092fc09,2100
142,0x8c0Ab46425EA90A141e75280138173D0CDB9557b,1500
143,0x8c511F88Cb48050b2FE42A88A310e2a576f44497,1500
144,0xf91490e790EeC3e11f6a0AA323339DcA28ee9b97,2100
145,0x058b42F4CFef0467B31b79F64aff63cEf1bCb2c1,1500
146,0x73Bd58829DDD24BF7bFbe3F0bfC8f0EbD0e70F3e,1800
147,0x78F9C5A95c21A58fe6a4EA420e4B98250FdE22ed,350
148,0xD83A595327F6aAE38c7ae11d45A39759D46754A8,1050
149,0xc8Bd98afF32C390d402FD322FbCd0D7FDc7CEC24,450
150,0xc9aa0c129628ee1365A1aDe93ecA37A76f094382,150
151,0xC7fF069dE178DA68c816e8053c3dF4c482F3019E,2050
152,0x7caDEF15A914ce72cAf85B5F43Eb41A3A8fd820a,300
153,0x2f07570FAb3CF47d0d2E0CFD7441CF4Bfe186922,1650
154,0x051b2E0d6eC9CA4473804C5b994630540706D404,300
155,0x3A98dAa3dAa51E3B2266A776A5a7E8dc8B735500,1050
156,0xB16a65c8fDab16D0389aC98eC58f1224867B847f,300
157,0x2376bc6f5F1Dc4395D0fff93BCbB20FcF6789568,1650
158,0xD49721001DA74939cD0AEf6CA741a17281708Ecf,750
159,0xa587d03766D76dd795f32c49136E812AC8E3F62A,600
160,0x8F5706C0De7775910F8E593f60d50897C43E7f0c,150
161,0xdc6128DD225b43aC699c2d773b08f75c76dEc903,1200
162,0xeB83C4537288ABD060A76Cb3C8210167F400afAa,1050
163,0x23801f6E95CA594746Af77204Ce090144aEB6fE2,1050
164,0xA95F3f1E0fa156f8754C2d8dD8D99c292EF57e96,150
165,0xFDc9D6C9C90a508a4fad3ddf4A430eE76f9D975c,450
166,0x569fcb7a5B28D89b279Ffd047Bf67A4Af4149a67,800
167,0x2D8e798d9944ABF14FACD0e653F0e9Eae7279F84,1800
168,0x6815DaA1Aa3d44D814A63656AB56aF30298C6134,600
169,0xAcf601F0D4229F6c4c0860Af0B5667BF15975146,1050
170,0x3F7C14E402fcC3864D6e1aE1C4747ff1805D0512,1150
171,0xd4873102e93DeE6E16f39CD2FE7Cd578B3AcCA0d,650
172,0x0C45d153177F64733dC0c691C229427F56d2d154,1050
173,0x3FD48fdB05566c661F7b3df78ec68A3e081937AC,1850
174,0x6888027710007630e7f0dDe422d5AeA2bE90ad85,1200
175,0xf25aaEAB30074C3f52DBbD3570Bf229730aaF0AE,1050
176,0x061cA0241067e9FF684a60897862c27414A9Fff2,750
177,0x3caADE777D9f61662C0bC391aece2122221f0f3e,1050
178,0x27B56767753D119610DeC106D48F628396b38663,100
179,0x05Ab7B0889A9Be6050B0Cdd855bDFe81AC14d79a,900
180,0x22fCBfB3e16B71f89499F88262deF1e11Eb5A78,600
181,0xC04Df29424eE49395E962858eB0babd29b2C14e9,1800
182,0x89276cEd4c09036f03Ec9a23E5d5034F0A80CD56,1050
183,0x87e2230b09cb34955A6340B920E023d7A69D75D0,900
184,0x241AF00a361c5c9A08e88Af6eFab984AdA7bcff1,1800
185,0x14109C2774400C8F45300036145d42ACbC240139,1800
186,0xc91cb1dfe2beb0fcc21a1273c45611a79292bf1e,1200
187,0x67d878d3a1c04A8fc581867f82EfD148134F2196,1200
188,0xa1BEB350A770aA731dc674d11D487DE582f518d0,1600
189,0x70F5fDE2B1620744C7974F47A680F3CD84722B5e,1800
190,0x70E701b7e7f107fc44C6903Cd655a9f64a60CDF7,900
191,0xfFe1Ce2814116b47B5f4D20A208B773dcc1fEF20,1800
192,0x8d92a7DbE1B42546382b50aAB66513216F521cE4,850
193,0xC05c717a7b42Ef93431b6317d7A6b613160A8a7A,1050
194,0x3beedd8ff6ce956226918dc8f0a5a6614526b288,1800
195,0x36aABC3abF6F4374A44BdCb9990B620A899bbBd6,750
196,0x19f7CC0eF4d9Ecf678611034f6c484Be4042Dd3F,600
197,0x7BE2a550F4290C3E86d76693F8a3a4d685Fac81B,1800
198,0xd1815bda1393d8fde871763ddc35776cc8c30586,1650
199,0xD297C4664f209c79164d2f45E5eB04be6d9E3c27,850
200,0x9B03e25e0211E7A64eE84cB88d5C0E1a7AA1C7D6,1800
201,0xB72640be29eB97fd8901ABFa57cA220620A44556,1800
202,0xECe6b0e634362324478aE62fF39CC359B4b07101,300
203,0x4820CE2CaEBd82B54A6017a8E705Af4151954A73,800
204,0xee40462eDBa959E9eCa0F37583d437563f36cdEe,450
205,0xBB8A43365963b7Bb0c0E304B76Ae662b1CE2dcA8,900
206,0x22F0Db338D485b8ba9F5422D6e8C60522c905910,450
207,0xD937ED8360a761Bbde1f3371AD1922138d2B284B,1050
208,0xc1ee59265efa7d13f8592cddae514a5be4cdf4a8,1800
209,0x0b9Ee605E082D4559EdE18d457A0621ecf9e0ac8,1500
210,0x4Aa57Ade34C4b754fe79319bDdaC69D015D009d2,1650
211,0xaf7bf708953719804a607a3dcB7Cadd815bf887A,900
212,0xCc5218a0397FADb9298B9552A0eC5e8eCD3d8Be0,600
213,0xa6B0145F2baf27f76915586068C1e4abfE8893bc,600
214,0x46e098e1B5BF7C797d32863C1D894128029FB125,600
215,0x0ccC67d5C772692a03015ed24e0D76244dBE37F6,450
216,0x6b9C22805F713C6AC581fd7536e47cD8e8074BDE,450
217,0x1479444D1131C54c2C42E93159B13a93bF1fF77b,600
218,0xB1a17E521738F02D2Cc909c816463aca2c31A0E9,900
219,0x47FC4431f83670D2d3e6f96AfE128b6F810e0D19,1800
220,0x90855F942209135f271467d1D089775f6D31b3af,450
221,0xaa5814C79eE2d83484d738e8EfBEfB9B4C410a9D,900
222,0xCf7aB2550d6F0A13CF0a1583b958ef1488C89706,450
223,0xD58d40FE101cf288d585b6134009740b1877fE8A,1500
224,0xcec87c07a6946ec56e4efcc22adc040b4c4c4fbc,1800
225,0xE8DaA8fF9366b457a31d938EB0A73e54f4A42E67,900
226,0x547ED88D8bCa88033428C9b300B7808d2E404E7e,1800
227,0x6d3Cd253a5F4ecF62d9b52ac6c3c0997cb8f8101,450
228,0xC1532b2B6067Ec4f8A9008EBbdBAeA4048f2f18C,1500
229,0x9C5F8Add5Fa2274a896f0F9Ba9aB7942B7743979,450
230,0xe32570677e7B3c088e7c31524e90699C26F358A1,1450
231,0xaF10E413ac1B590Ca779565B3DB6CC2D182609E5,900
232,0xD1B9b61a73374589Cf9990510de8f3D298B59b8D,1600
233,0xcDe4EA8278CE46A1757e87B75D81ff368E57eF8F,900
234,0x5C611e7F1669A0bfc5EAfD56AA5DE991345870D9,850
235,0xcC494A8AEEDdC305A3b0bb8D862A4B78f0b04680,450
236,0x491e0ba47379a1567413B314B92C7dd8127B18ba,600
237,0xf1d8155061F665C3a44DE68A7C9EB2284319d146,450
238,0x404eFCed161a25B8D70c3920BA3da8c00D378C8B,1500
239,0x258115eF79f172c1bb9ea42417B644A25254C62f,600
240,0x00236f11548c50e646163f4feac9fae5026f5cad,700
241,0xd13f67021985ED48998021f49F7da71FB17bA1d1,450
242,0x17463e253bfDd6247217CE8f808107676e00a060,450
243,0x8c505773ea84207f01dec17f191046054f490641,900
244,0xE0e8472b6aea1f03235B3d22359C1524aF19F755,900
245,0x358987F7916De8A135d9468fA936586976c150A0,450
246,0xF52820b75f4aedeeECF780abb94c338830214842,600
247,0x116cc0440Cc572ed5125416B081d5f930C61CBea,600
248,0x400E2B1817d020094d090FEaff754fC49058B173,1500
249,0xE93f762d2E38e129cDa9c43869e42c0738954fe2,900
250,0x0c49d7f01E51FCC23FBFd175beDD6A571b29B27A,300
251,0x9241460C0763DE8631d0c4dc4b559bE87Be1f21f,1500
252,0x014B078BAF6eC495eb390b82C9eb4D05AF068Aec,1200
253,0x1f9823A1ff942994edBB1294cdd21E04dADBB0a8,150
254,0x8F541BFb400a9a3E3bD6a8cF45Fe0E9c5450582E,1500
255,0xFe4B2C0EC709352C5956F18EE72E8286cA7DA53C,300
256,0xE0c95Ed1d6aA216b7BbC731b4b65f338D77D5289,150
257,0x418C83f4Dd1b71A8f0f10e532Ba86513B626B941,1500
258,0x1098B62b22535c7EEA2b3C2f6dd049677979D514,600
259,0xCE5a4c272220cd126b3326001E4dB31c4715476e,1500
260,0xBa380AcF3f56aC1A19e5a7D5D915a2A2BBc93934,600
261,0x88e6249B8e1EDB47Ba96603d9E61443ABaD2eeEb,750
262,0xd62B67749D3C200A142D243b60C08aFF80456282,1500
263,0xbe4fdd895f74017204f5bf90c469056fb3bd97be,1500
264,0xcFC107Cca1447A2F4A24C2F52312086eE508F912,1500
265,0x81a7627fFF5BC3EBe7A43CF7A1EE7271F248370f,900
266,0x0984F5Ca4DDce991835b1a831cBA2FF31b40ea00,1050
267,0xB97fE74AA0e809e7c133a74E626D2901fd68fCBD,1200
268,0xBc376B02CFDB7a21271Bd989311feFFc3182Ae2D,600
269,0xe7195878C7d5840332f08B9496C689165745DF20,600
270,0x20A737Bf840A972a73EA55dc482a16Ee5c52922B,300
271,0x3179834F0E79eab67d44c36A8cba2F24B5Ae30ee,150
272,0x3374f7Fc9846255f2E154b6C6CB5bC97C15205C4,250
273,0x7A246Ac42e457d0655763b27EeE935b2E7b049Be,750
274,0xFFbCf38D8801472E0332c3d514C0b73126dEC6d6,900
275,0xC7557805cCBB50f005F2dFB5e595a7303F0a1f05,1500
276,0x5a65414E19700B9d6bB1a40f0af755354D1405eD,1200
277,0xD1EaE7D7b53367eE3f1AFd2F7D6e685291fa02c5,700
278,0x1a3E6C0DB345171E2b204f901b8e662f9b4A0128,1150
279,0x6b0d921d52c7a940104748e1867bEfe5f2105028,300
280,0x469576364205b7590918DEEe056CddE54329642B,600
281,0xdAc7a91516112703448B5d1fbC8B679fcE838E8A,1450
282,0xfE924cf73f5024c5EA2779e1A9840Bb766621A02,450
283,0x7d5f5Af2130985fe0fb5f2BFe38563ccFbEEfe23,600
284,0x79cB9e73C30728B56BFc3D5421aebACb7a1B8Fd6,700
285,0xa58802b1d932b227654d96f8145e3cfa34c97a99,1350
286,0x00E9b0AC8B6a3Fb33E2bbE8756a502EeD3D53A3B,600
287,0x7Ade3ed38ee3dd46ab551323B6b481E9BCE618CE,550
288,0x10A5e696BB56d10362B7e9B50DDf3FA2D85A4BfA,750
289,0x9DCB4971D65E16DCA35EFA08c6633bb6492117f1,900
290,0x1a0617E7325d3Cf31bBFd9FAEce59cB6752F8762,300
291,0xC0a367d46e3C1D83c6f1f95529F376eb953A10f3,150
292,0x13917942D857A1C06b0d56bEB6616D3c3780C9f3,600
293,0x55075f2b6A4f9D4f248f42E30EC106C3b0522956,750
294,0x4118D112278638222ed6232Bd4f2496966Ad4675,300
295,0xA48A439BB2f88cc3b4Ec545D1a8AD552994E6589,600
296,0x098Bc45a8391504e990E65B0E67bd1E84859eEB3,300
297,0x285dc9690Dd5C7Df305F37f89bF978255Ba87fFc,600
298,0x60c4C2A46979c6AA8D3B6A34a27f95516ef4e353,900
299,0xd3d804ce16eAfe3556265Bb205ff1397beACb646,900
300,0x4B3cA96292e3B89c9CCb90f5E0df371b730f230E,900
301,0x74132F96178583b1119A764A00888335B019EC7e,900
302,0xe2664b96525249d43Ef8574424cdb030d8e06c93,900
303,0x3744bAa47228b390C79A8a06dF241e48308Dd680,150
304,0xAe275c2Aa2576451231bbd50AE59bEb4959b78E1,150
305,0x51bFF6F116Cd1D9BFFB0248a669Bbd86635D92f8,900
306,0x73fC0cBbBFD338ac5c205Fec7BC7959E12f8f74a,1050
307,0xe0bBd84c96042cD7c9f3e52310BeEd1c15621a45,1050
308,0xEF1c6d6AE70E48030B0a0b0D97346105e94d41f7,300
309,0x3dd7EdDc9d4f5C481A3D2590057BA6104441E018,1000
310,0x2F8ab4f0E64f2C108fCC0739c6bd8414e03Ef32E,1200
311,0x3BafC6d98050c380Bfa1302BFBCB25313598fF8F,600
312,0x0D6B79e4336a74B7a1c3ae133fA6Ff3e139F3EF7,600
313,0x799DC582264417588664431615d5A64E247f08F2,300
314,0xC9DB24e688ba976664889E688d13d6c858c3E487,300
315,0x72c3ee5c5CC9CAEC2ad57FdBFC58868CBFfa3931,900
